T1,H1,S1,G1,F1,T2,H2,S2,G2,F2,T3,H3,S3,G3,F3,T4,H4,S4,G4,F4,CLASS_LABEL
28.8,71.89,0.0,0.0,0.0,28.89,68.4,0.0,0.0,0.0,29.31,69.97,0.0,53.0,0.0,31.31,63.7,0.0,0.0,0.0,0.0
29.11,71.38,0.0,0.0,0.0,29.55,68.48,0.0,0.0,0.0,30.22,67.09,0.0,61.0,0.0,32.85,63.8,0.0,0.0,0.0,0.0
62.63,17.53,0.0,7.0,618.0,36.46,51.29,0.0,0.0,0.0,33.64,61.27,0.0,0.0,1914.0,34.22,100.0,0.0,22.0,0.0,1.0
36.1,49.81,0.0,11.0,0.0,35.0,54.38,0.0,0.0,0.0,59.31,17.79,0.0,0.0,2703.0,34.22,100.0,0.0,22.0,0.0,1.0
39.71,53.28,0.0,0.0,959.0,40.88,43.8,0.0,0.0,0.0,41.37,45.41,0.0,2.0,0.0,46.67,32.95,0.0,6.0,0.0,1.0
61.25,18.57,0.0,17.0,0.0,36.39,51.54,0.0,0.0,0.0,33.59,61.36,0.0,5.0,2010.0,34.22,100.0,0.0,30.0,0.0,1.0
32.29,70.11,0.0,0.0,0.0,32.49,70.77,0.0,0.0,0.0,31.62,71.71,0.0,48.0,0.0,34.17,62.05,0.0,0.0,0.0,0.0
33.53,70.46,0.0,0.0,0.0,33.09,72.22,0.0,0.0,0.0,36.82,55.38,0.0,53.0,0.0,51.96,28.46,0.0,0.0,0.0,1.0
30.26,68.07,0.0,11.0,0.0,29.82,68.34,0.0,0.0,0.0,30.3,66.75,0.0,55.0,0.0,32.83,64.08,0.0,0.0,0.0,0.0
30.49,68.25,0.0,9.0,0.0,30.01,68.79,0.0,0.0,0.0,30.52,66.68,0.0,54.0,0.0,33.01,64.62,0.0,0.0,0.0,0.0
47.13,39.27,0.0,0.0,4005.0,41.05,44.43,0.0,0.0,0.0,39.72,51.51,0.0,13.0,0.0,40.81,47.32,0.0,13.0,0.0,1.0
34.49,56.77,0.0,16.0,0.0,33.7,59.38,0.0,0.0,0.0,34.43,54.98,0.0,16.0,0.0,59.27,18.83,0.0,33.0,360.0,1.0
30.47,67.82,0.0,10.0,0.0,29.97,68.56,0.0,0.0,0.0,30.47,66.47,0.0,57.0,0.0,32.88,64.37,0.0,0.0,0.0,0.0
30.25,68.06,0.0,8.0,0.0,29.78,68.35,0.0,0.0,0.0,30.27,66.82,0.0,54.0,0.0,32.77,64.09,0.0,0.0,0.0,0.0
30.46,68.24,0.0,7.0,0.0,30.06,68.85,0.0,0.0,0.0,30.55,66.51,0.0,56.0,0.0,33.16,64.7,0.0,0.0,0.0,0.0
30.44,68.27,0.0,9.0,0.0,30.01,68.89,0.0,0.0,0.0,30.58,66.46,0.0,55.0,0.0,33.07,64.71,0.0,0.0,0.0,0.0
30.49,68.37,0.0,7.0,0.0,30.04,69.2,0.0,0.0,0.0,30.66,66.48,0.0,59.0,0.0,33.09,64.93,0.0,0.0,0.0,0.0
36.84,62.58,0.0,0.0,0.0,52.14,19.26,0.0,0.0,4013.0,36.62,59.32,0.0,16.0,0.0,39.66,50.25,0.0,10.0,0.0,1.0
46.02,43.27,0.0,0.0,4017.0,41.98,42.92,0.0,0.0,0.0,39.4,51.81,0.0,10.0,0.0,40.63,48.14,0.0,7.0,0.0,1.0
37.7,57.37,0.0,0.0,0.0,40.05,55.59,0.0,0.0,607.0,34.02,64.86,0.0,48.0,0.0,39.11,47.27,0.0,0.0,0.0,1.0
32.41,70.1,0.0,0.0,0.0,32.52,70.49,0.0,0.0,0.0,31.25,73.09,0.0,48.0,0.0,33.67,63.83,0.0,0.0,0.0,0.0
34.58,56.95,0.0,18.0,0.0,33.63,59.45,0.0,0.0,0.0,34.38,55.39,0.0,13.0,0.0,75.82,9.55,0.0,22.0,0.0,1.0
40.72,49.74,0.0,0.0,0.0,39.64,46.81,0.0,0.0,0.0,48.23,34.85,0.0,15.0,3852.0,41.86,44.12,0.0,12.0,0.0,1.0
30.34,67.91,0.0,7.0,0.0,29.87,68.43,0.0,0.0,0.0,30.37,66.6,0.0,53.0,0.0,32.84,64.23,0.0,0.0,0.0,0.0
46.55,41.26,0.0,0.0,2954.0,41.58,43.43,0.0,0.0,0.0,39.55,52.05,0.0,35.0,0.0,40.71,48.43,0.0,16.0,0.0,1.0
34.45,62.85,0.0,13.0,0.0,35.52,52.81,0.0,0.0,0.0,32.42,63.72,0.0,2.0,1322.0,34.22,100.0,0.0,33.0,0.0,1.0
30.5,68.35,0.0,9.0,0.0,30.03,69.17,0.0,0.0,0.0,30.65,66.47,0.0,58.0,0.0,33.09,64.89,0.0,0.0,0.0,0.0
33.34,71.06,0.0,0.0,0.0,33.07,73.22,0.0,0.0,0.0,40.01,47.41,0.0,48.0,0.0,48.61,36.32,0.0,0.0,0.0,1.0
33.75,65.89,0.0,0.0,1056.0,32.42,64.95,0.0,0.0,1015.0,31.92,67.72,0.0,8.0,4015.0,35.92,56.76,0.0,30.0,4015.0,1.0
30.48,68.18,0.0,5.0,0.0,30.07,68.99,0.0,0.0,0.0,30.62,66.39,0.0,55.0,0.0,33.1,64.81,0.0,0.0,0.0,0.0
30.5,68.17,0.0,9.0,0.0,29.98,68.77,0.0,0.0,0.0,30.53,66.6,0.0,53.0,0.0,32.97,64.58,0.0,0.0,0.0,0.0
30.26,68.03,0.0,6.0,0.0,29.77,68.36,0.0,0.0,0.0,30.3,66.71,0.0,52.0,0.0,32.78,64.11,0.0,0.0,0.0,0.0
41.72,37.97,0.0,16.0,0.0,35.75,53.43,0.0,0.0,0.0,55.59,23.59,0.0,0.0,1740.0,34.22,100.0,0.0,23.0,0.0,1.0
30.49,68.33,0.0,8.0,0.0,30.02,69.11,0.0,0.0,0.0,30.62,66.48,0.0,55.0,0.0,33.09,64.88,0.0,0.0,0.0,0.0
38.99,54.38,0.0,0.0,0.0,40.6,43.99,0.0,0.0,0.0,40.88,46.08,0.0,12.0,0.0,48.07,32.31,0.0,0.0,2861.0,1.0
30.45,68.31,0.0,6.0,0.0,30.02,68.93,0.0,0.0,0.0,30.59,66.46,0.0,108.0,0.0,33.08,64.75,0.0,0.0,0.0,0.0
43.85,42.89,0.0,0.0,0.0,40.22,45.17,0.0,0.0,0.0,42.44,45.91,0.0,12.0,505.0,41.58,44.59,0.0,10.0,0.0,1.0
42.8,39.63,0.0,14.0,0.0,35.62,52.05,0.0,0.0,0.0,33.29,61.84,0.0,0.0,2492.0,34.22,100.0,0.0,25.0,0.0,1.0
40.71,56.17,0.0,0.0,3326.0,33.48,71.36,0.0,0.0,0.0,34.88,61.13,0.0,50.0,0.0,45.46,35.04,0.0,0.0,0.0,1.0
33.8,65.83,0.0,0.0,4060.0,32.49,64.85,0.0,0.0,3510.0,31.95,67.67,0.0,10.0,4019.0,35.95,56.69,0.0,33.0,4061.0,1.0
40.35,51.05,0.0,0.0,0.0,41.34,42.15,0.0,0.0,0.0,41.37,44.28,0.0,6.0,0.0,44.99,35.29,0.0,7.0,0.0,1.0
47.91,37.5,0.0,0.0,2220.0,40.66,45.37,0.0,0.0,0.0,39.95,50.79,0.0,11.0,0.0,41.0,46.91,0.0,14.0,0.0,1.0
